"cdr_ID","calldate","ip","port","is_caller"
76124497,"2018-05-01 13:50:54",1654599251,24242,1
76124497,"2018-05-01 13:50:54",1275790787,6000,0
76123454,"2018-05-01 13:50:56",1654599250,25872,1
76123454,"2018-05-01 13:50:56",2886732510,16532,0
76123455,"2018-05-01 13:50:57",3438593084,10622,1
76123455,"2018-05-01 13:50:57",1654599250,22478,0
76123352,"2018-05-01 13:51:17",1654599251,31832,0
76123540,"2018-05-01 13:51:19",1145337701,33630,1
76123540,"2018-05-01 13:51:19",1654599250,26948,0
76123541,"2018-05-01 13:51:19",1654599250,20646,1
76123541,"2018-05-01 13:51:19",175703356,2224,0
76123425,"2018-05-01 13:51:23",1654599251,32494,1
76123425,"2018-05-01 13:51:23",417208698,5142,0
76124185,"2018-05-01 13:51:25",2393257259,5040,1
76124185,"2018-05-01 13:51:25",3227975506,29332,0
76123539,"2018-05-01 13:51:27",1654599251,17986,1
76123539,"2018-05-01 13:51:27",0,5004,0
76123542,"2018-05-01 13:51:27",3341778707,24686,1
76123542,"2018-05-01 13:51:27",1654599251,27894,0
76123395,"2018-05-01 13:51:33",1654599251,21536,1
76123395,"2018-05-01 13:51:33",417208698,5144,0
76124498,"2018-05-01 13:51:34",417208698,5040,1
76124498,"2018-05-01 13:51:34",1654599251,26746,0
76123456,"2018-05-01 13:51:37",1654599250,26168,1
76123456,"2018-05-01 13:51:37",417208698,5176,0
76123458,"2018-05-01 13:51:37",3631984747,23370,1
76123458,"2018-05-01 13:51:37",1654599250,27674,0
76123460,"2018-05-01 13:51:37",1654599250,19196,0
76123545,"2018-05-01 13:51:37",1654599250,25394,1
76123545,"2018-05-01 13:51:37",417230089,11580,0
76123548,"2018-05-01 13:51:37",3507478246,13066,1
76123548,"2018-05-01 13:51:37",1654599250,24758,0
76123580,"2018-05-01 13:51:37",1654599251,18876,1
76123580,"2018-05-01 13:51:37",2392981967,5150,0
76123582,"2018-05-01 13:51:38",411685143,7110,1
76123582,"2018-05-01 13:51:38",1654599251,19764,0
76124573,"2018-05-01 13:51:39",3227975250,19004,1
76124573,"2018-05-01 13:51:39",3345303600,16406,0
76124574,"2018-05-01 13:51:40",3345303600,10000,1
76124574,"2018-05-01 13:51:40",3227975250,25406,0
76123453,"2018-05-01 13:51:41",3227975250,24768,0
76124784,"2018-05-01 13:51:41",1654599251,20458,1
76124784,"2018-05-01 13:51:41",1676539840,5126,0
76123520,"2018-05-01 13:51:42",3341778438,51700,1
76123520,"2018-05-01 13:51:42",3227975250,17706,0
76124785,"2018-05-01 13:51:42",1653600788,7800,1
76124785,"2018-05-01 13:51:42",1654599251,30962,0
76123834,"2018-05-01 13:51:44",1654599251,25766,1
76123834,"2018-05-01 13:51:44",417208698,5076,0
76123835,"2018-05-01 13:51:44",3631984748,6210,1
76123835,"2018-05-01 13:51:44",1654599251,26022,0
76123649,"2018-05-01 13:51:45",1654599251,19278,1
76123649,"2018-05-01 13:51:45",417208698,5146,0
76123667,"2018-05-01 13:51:45",417208698,5010,1
76123667,"2018-05-01 13:51:45",1654599251,24854,0
76123577,"2018-05-01 13:51:46",3429196867,23702,0
76123577,"2018-05-01 13:51:46",3227975250,29454,1
76123670,"2018-05-01 13:51:47",1654599250,31616,1
76123670,"2018-05-01 13:51:47",167772328,5004,0
76123672,"2018-05-01 13:51:48",411685143,7550,1
